[ 2026-06-05 11:46:09,687 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2026-06-05 11:46:10,884 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2026-06-05 11:46:12,161 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-06-05 11:46:12,167 ] 107 dagshub - INFO - Accessing as muheel19
[ 2026-06-05 11:46:13,490 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/muheel19/networksecurity "HTTP/1.1 200 OK"
[ 2026-06-05 11:46:14,631 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-06-05 11:46:14,644 ] 107 dagshub - INFO - Initialized MLflow to track repo "muheel19/networksecurity"
[ 2026-06-05 11:46:14,645 ] 107 dagshub - INFO - Repository muheel19/networksecurity initialized!
[ 2026-06-05 11:46:14,645 ] 20 root - INFO - Initiate the data ingestion
[ 2026-06-05 11:46:21,192 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-06-05 11:46:21,192 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-06-05 11:46:21,192 ] 75 root - INFO - Exporting train and test file path.
[ 2026-06-05 11:46:21,272 ] 84 root - INFO - Exported train and test file path.
[ 2026-06-05 11:46:21,272 ] 22 root - INFO - Data Initiation Completed
[ 2026-06-05 11:46:21,344 ] 26 root - INFO - Initiate the data Validation
[ 2026-06-05 11:46:21,442 ] 32 root - INFO - Required number of columns:2
[ 2026-06-05 11:46:21,442 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-05 11:46:21,442 ] 32 root - INFO - Required number of columns:2
[ 2026-06-05 11:46:21,442 ] 33 root - INFO - Data frame has columns:31
[ 2026-06-05 11:46:21,727 ] 28 root - INFO - data Validation Completed
[ 2026-06-05 11:46:21,727 ] 31 root - INFO - data Transformation started
[ 2026-06-05 11:46:21,727 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-06-05 11:46:21,727 ] 65 root - INFO - Starting data transformation
[ 2026-06-05 11:46:21,760 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-06-05 11:46:21,762 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-06-05 11:46:21,795 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-05 11:46:21,812 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-05 11:46:21,812 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-05 11:46:21,812 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-05 11:46:21,812 ] 35 root - INFO - data Transformation completed
[ 2026-06-05 11:46:21,812 ] 37 root - INFO - Model Training sstared
[ 2026-06-05 11:53:03,553 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-05 11:53:03,554 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-05 11:53:03,554 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-06-05 11:53:03,650 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-06-05 11:53:03,650 ] 128 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\06_05_2026_11_45_50\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9910587279008332, precision_score=0.9890488744676537, recall_score=0.9930767664426797), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9719326383319968, precision_score=0.9711538461538461, recall_score=0.9727126805778491))
[ 2026-06-05 11:53:03,656 ] 42 root - INFO - Model Training artifact created
